"source_id","source_name","original_path","file_size_bytes","reason_skipped","why_it_might_matter","recommended_action_if_needed"
"01","Squeaky School","D:\Squeaky School\chaz_agentic_system_recovered_handoff_20260602.zip","57489","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"01","Squeaky School","D:\Squeaky School\ss_living_v2_pathsafe_20260602\src\zips\d0.zip","74906","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"01","Squeaky School","D:\Squeaky School\ss_living_v2_pathsafe_20260602\src\zips\d1.zip","74906","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"01","Squeaky School","D:\Squeaky School\ss_living_v2_pathsafe_20260602\src\zips\m0.zip","145829","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"01","Squeaky School","D:\Squeaky School\ss_living_v2_pathsafe_20260602\src\zips\ss.zip","83612","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"02","HIVE P0 Fast Parallel Agent Build","D:\HIVE_P0_FAST_PARALLEL_AGENT_BUILD\HIVE_P0_FAST_PARALLEL_BUILD_COMPLETED.zip","32512","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"02","HIVE P0 Fast Parallel Agent Build","D:\HIVE_P0_FAST_PARALLEL_AGENT_BUILD\FINAL_HANDOFF_PACKAGE\hive_p0\Cargo.lock","46803","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"02","HIVE P0 Fast Parallel Agent Build","D:\HIVE_P0_FAST_PARALLEL_AGENT_BUILD\work_output\hive_p0\Cargo.lock","20376","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"07","SqueakyBot","D:\SqueakyBot\Cargo.lock","26048","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"08","Consus Rust Toolbox Phase 2 Expanded Tasks","D:\CONSUS_RUST_TOOLBOX_PHASE2_EXPANDED_TASKS_20260602\consus-rust-toolbox\Cargo.lock","19746","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"08","Consus Rust Toolbox Phase 2 Expanded Tasks","D:\CONSUS_RUST_TOOLBOX_PHASE2_EXPANDED_TASKS_20260602\consus-rust-toolbox\crates\archive-sentinel\examples\archive_fixtures\nested_archive.zip","254","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"08","Consus Rust Toolbox Phase 2 Expanded Tasks","D:\CONSUS_RUST_TOOLBOX_PHASE2_EXPANDED_TASKS_20260602\consus-rust-toolbox\crates\archive-sentinel\examples\archive_fixtures\path_traversal.zip","262","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"08","Consus Rust Toolbox Phase 2 Expanded Tasks","D:\CONSUS_RUST_TOOLBOX_PHASE2_EXPANDED_TASKS_20260602\consus-rust-toolbox\crates\archive-sentinel\examples\archive_fixtures\safe.zip","251","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"08","Consus Rust Toolbox Phase 2 Expanded Tasks","D:\CONSUS_RUST_TOOLBOX_PHASE2_EXPANDED_TASKS_20260602\consus-rust-toolbox\examples\archive_fixtures\nested_archive.zip","254","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"08","Consus Rust Toolbox Phase 2 Expanded Tasks","D:\CONSUS_RUST_TOOLBOX_PHASE2_EXPANDED_TASKS_20260602\consus-rust-toolbox\examples\archive_fixtures\path_traversal.zip","262","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
"08","Consus Rust Toolbox Phase 2 Expanded Tasks","D:\CONSUS_RUST_TOOLBOX_PHASE2_EXPANDED_TASKS_20260602\consus-rust-toolbox\examples\archive_fixtures\safe.zip","251","binary/media/archive or lock output","Could contain additional implementation detail, logs, media, or generated outputs.","Inspect manually and copy a trimmed text extract only if review specifically needs it."
